id,total,discountedTotal,userId,totalProducts,totalQuantity
1,13037.88,11510.81,1,4,12
2,139.93,125.7,2,2,7
3,1794.85,1625.77,3,6,15
4,689.93,636.81,4,2,7
5,1467.88,1205.8,5,3,12
6,55453.86,46641.06,6,4,14
7,1229.86,1103.65,7,6,14
8,6337.83,5771.32,8,6,17
9,29709.9,27993.46,9,4,10
10,152.44,131.34,10,2,6
11,61831.75,57397.84,11,5,15
12,37767.32,35410.79,12,6,18
13,16.54,14.97,13,2,6
14,209.9,184.59,14,3,10
15,249.95,214.68,15,3,5
16,384.92,364.7,16,2,8
17,5531.34,5014.94,17,4,16
18,128999.9,124978.81,18,2,10
19,22142.88,21308.13,19,5,12
20,4711.88,4251.41,20,4,12
21,12939.94,10966.03,21,3,6
22,307.92,296.47,22,3,8
23,2499.91,2123.87,23,2,9
24,30299.94,26780.04,24,2,6
25,1228.35,1070.83,25,5,15
26,1111.84,1021.64,26,4,16
27,111014.85,100496.36,27,4,15
28,5944.77,5531.37,28,6,23
29,2359.84,2077.88,29,4,16
30,186110.85,155507.16,30,6,15
31,1268.88,1111.0,31,5,12
32,187.44,153.2,32,2,6
33,129057.77,125461.58,33,6,23
34,1479.92,1240.78,34,3,8
35,618.86,507.21,35,6,14
36,98.91,89.37,36,3,9
37,129.93,119.32,37,2,7
38,409.95,334.61,38,3,5
39,279.96,249.24,39,2,4
40,263.9,253.64,40,3,10
41,49649.82,46340.09,41,5,18
42,626.84,531.17,42,5,16
43,1689.88,1521.19,43,4,12
44,47055.84,43550.16,44,6,16
45,132262.29,121385.95,45,6,21
46,67607.33,56101.67,46,4,17
47,50539.87,49199.91,47,5,13
48,110.91,101.89,48,2,9
49,4208.81,3843.75,49,5,19
50,13144.93,10852.12,50,3,7
51,36519.9,32961.03,51,5,10
52,134382.82,130175.28,52,6,18
53,1079.94,1028.19,53,2,6
54,10999.95,9998.55,54,2,5
55,42.96,39.92,55,2,4
56,121.97,109.12,56,2,3
57,1269.91,1158.21,57,2,9
58,1212.97,1042.77,58,2,3
59,74029.97,61859.29,59,2,3
60,7649.92,6748.39,60,2,8
61,642.86,571.58,61,5,14
62,2851.92,2691.23,62,2,8
63,511.92,460.04,63,4,8
64,6032.81,5389.02,64,5,19
65,1717.89,1517.78,65,4,11
66,2295.93,1907.41,66,4,7
67,443.96,389.6,67,3,4
68,252.89,221.05,68,3,11
69,7185.87,6560.55,69,5,13
70,3794.83,3295.62,70,5,17
71,77905.87,72541.01,71,4,13
72,322.86,291.77,72,4,14
73,21807.84,20510.13,73,6,16
74,1562.41,1379.22,74,4,9
75,346.44,286.02,75,4,6
76,37629.86,36017.72,76,5,14
77,999.95,880.59,77,3,5
78,128964.87,109890.08,78,4,13
79,1575.87,1336.5,79,6,13
80,1504.93,1217.93,80,2,7
81,242.85,217.41,81,4,15
82,1974.84,1674.54,82,5,16
83,150061.36,125679.0,83,5,14
84,569.92,542.55,84,3,8
85,179.94,163.88,85,2,6
86,45249.9,40809.21,86,2,10
87,309.92,278.38,87,3,8
88,149.94,128.13,88,2,6
89,2458.83,2111.01,89,6,17
90,6059.84,5010.11,90,5,16
91,259.94,228.17,91,2,6
92,809.92,680.17,92,3,8
93,1809.86,1468.77,93,5,14
94,345.81,312.15,94,5,19
95,154490.76,129783.31,95,6,24
96,104.93,92.51,96,2,7
97,2013.93,1623.42,97,3,7
98,1010.78,896.98,98,6,22
99,124.4,117.96,99,4,10
100,33003.13,31771.92,100,2,7
101,1551.88,1464.78,101,5,12
102,171.9,155.13,102,5,10
103,35.89,31.79,103,3,11
104,1120.23,990.53,104,6,27
105,147.91,134.21,105,3,9
106,104.97,94.38,106,2,3
107,129.97,120.92,107,2,3
108,1062.96,935.63,108,2,4
109,10089.94,9615.55,109,2,6
110,37703.85,31595.18,110,5,15
111,13899.91,11845.13,111,2,9
112,384.88,343.42,112,4,12
113,1624.87,1480.45,113,3,13
114,37699.93,33323.1,114,2,7
115,4526.87,4223.96,115,5,13
116,9141.33,8558.54,116,5,17
117,10989.86,9985.79,117,5,14
118,158.85,141.14,118,4,15
119,299.96,252.16,119,2,4
120,879.92,814.89,120,3,8
121,83.9,79.41,121,3,10
122,27089.94,24688.5,122,3,6
123,84301.79,78514.37,123,6,21
124,469.85,433.96,124,4,15
125,3364.92,3047.81,125,2,8
126,1105.34,920.91,126,5,16
127,1023.86,887.48,127,5,14
128,10236.85,9755.4,128,5,15
129,2246.3,1878.79,129,6,20
130,30625.95,29328.26,130,3,5
131,3702.71,3474.09,131,6,19
132,13411.81,11523.23,132,6,19
133,9559.87,8818.7,133,5,13
134,2056.81,1740.76,134,6,19
135,889.87,751.73,135,4,13
136,405.93,360.45,136,3,7
137,12442.86,10941.81,137,5,14
138,15029.93,13292.05,138,2,7
139,36.97,36.17,139,2,3
140,643.91,614.71,140,3,9
141,2991.36,2506.71,141,4,14
142,2675.8,2499.07,142,6,20
143,17609.79,15464.38,143,6,21
144,4269.05,3608.57,144,5,15
145,1153.84,1030.1,145,6,16
146,562.82,506.06,146,6,18
147,2102.83,1898.14,147,5,17
148,71.93,58.55,148,2,7
149,39227.33,34702.26,149,4,17
150,1029.42,989.15,150,3,8
151,247.85,222.39,151,5,15
152,4119.91,3369.71,152,2,9
153,4309.85,3678.46,153,6,15
154,573.92,532.54,154,3,8
155,131224.81,110543.89,155,5,19
156,2643.86,2422.79,156,3,14
157,6.98,6.65,157,2,2
158,1169.89,1079.68,158,5,11
159,451.84,396.92,159,6,16
160,164.96,142.66,160,2,4
161,2339.82,2168.95,161,5,18
162,3236.87,2982.32,162,4,13
163,1494.86,1248.15,163,5,14
164,227.88,195.93,164,3,12
165,20196.86,17751.61,165,6,14
166,129.97,108.97,166,2,3
167,48201.41,46202.72,167,3,9
168,99.94,91.93,168,2,6
169,36799.95,33456.43,169,2,5
170,1829.86,1512.89,170,5,14
171,219.94,191.81,171,2,6
172,574.89,495.78,172,4,11
173,17785.88,16911.51,173,4,12
174,752.77,701.39,174,6,23
175,349.97,302.88,175,2,3
176,269.93,218.17,176,2,7
177,2399.91,2299.48,177,2,9
178,6785.79,5846.4,178,6,21
179,27567.34,25098.32,179,6,16
180,6.97,6.87,180,2,3
181,4707.94,4138.32,181,3,6
182,3411.8,3195.45,182,6,20
183,62954.84,59760.67,183,5,16
184,14015.98,13307.5,184,2,2
185,1404.95,1243.17,185,2,5
186,364.92,359.72,186,2,8
187,10844.88,9255.33,187,4,12
188,184.92,171.55,188,4,8
189,1289.92,1172.57,189,3,8
190,56079.92,53242.95,190,2,8
191,43489.89,36399.0,191,5,11
192,70627.3,67061.66,192,5,20
193,655.8,565.46,193,6,20
194,87090.9,83615.86,194,3,10
195,44661.82,37543.81,195,6,18
196,75209.82,70006.8,196,5,18
197,58063.93,55748.9,197,3,7
198,100565.86,92308.32,198,4,14
199,28239.94,26800.96,199,2,6
200,22694.77,21783.54,200,6,23
201,128096.37,109195.89,201,4,13
202,23114.79,20545.55,202,6,21
203,50.95,46.54,203,2,5
204,25591.84,23182.99,204,6,16
205,16011.94,14075.86,205,2,6
206,229.92,213.26,206,3,8
207,22719.79,20090.11,207,6,21
208,304.95,260.12,208,2,5
