width,height,depth,product_id
15.14,13.08,22.99,1
9.26,22.47,27.67,2
29.27,27.93,20.59,3
18.11,28.38,22.17,4
21.63,16.48,29.84,5
29.36,27.76,20.72,6
24.5,25.7,25.98,7
27.67,28.28,11.83,8
27.28,29.88,18.3,9
20.92,21.68,11.2,10
28.16,25.36,17.28,11
12.75,20.55,19.06,12
13.47,24.99,27.35,13
13.81,7.5,5.62,14
7.98,8.88,28.46,15
13.66,11.01,9.73,16
18.9,5.77,18.57,17
18.08,9.26,21.86,18
11.03,22.11,16.01,19
19.95,27.54,24.86,20
12.8,28.38,21.34,21
16.93,27.15,9.29,22
11.42,7.44,16.95,23
14.95,26.31,11.27,24
15.33,26.65,14.44,25
15.38,18.12,19.92,26
9.28,21.72,17.74,27
14.83,15.07,24.2,28
18.56,21.46,28.02,29
19.4,18.67,17.13,30
23.77,9.22,12.05,31
12.92,15.76,11.29,32
12.8,18.54,6.31,33
20.54,29.49,29.2,34
22.65,9.83,21.75,35
9.01,12.53,22.35,36
16.01,24.96,12.74,37
17.21,9.88,17.16,38
19.75,6.79,9.33,39
28.18,21.25,28.54,40
18.75,17.58,12.43,41
18.43,7.4,17.79,42
23.84,15.19,26.05,43
17.27,14.81,29.11,44
8.55,14.62,17.25,45
9.83,20.28,13.49,46
8.98,13.41,5.65,47
21.32,23.03,25.94,48
5.88,5.11,10.03,49
13.03,5.99,20.64,50
9.05,19.45,17.59,51
27.69,7.54,10.11,52
15.6,6.93,8.51,53
17.16,26.8,16.29,54
10.81,19.15,13.18,55
24.17,22.55,27.49,56
18.02,13.23,15.92,57
12.3,25.91,22.57,58
20.23,24.56,26.97,59
6.32,23.11,24.64,60
27.31,21.0,24.27,61
26.67,18.14,5.31,62
20.68,6.5,7.86,63
25.19,18.52,20.5,64
12.45,19.08,8.24,65
16.31,27.45,13.05,66
18.99,27.14,27.29,67
17.14,21.7,25.75,68
16.46,5.39,13.15,69
22.86,26.2,17.0,70
21.03,11.7,6.69,71
14.41,27.15,14.76,72
28.06,22.43,26.34,73
8.49,26.04,27.78,74
12.7,7.52,9.72,75
5.92,10.87,19.55,76
9.7,6.43,17.93,77
20.03,9.54,14.82,78
16.6,11.49,10.89,79
18.21,22.83,17.26,80
20.84,22.68,17.39,81
13.76,29.0,21.42,82
27.49,23.73,28.61,83
22.31,26.47,13.27,84
9.34,5.97,10.85,85
5.02,16.57,9.6,86
23.48,7.03,27.33,87
17.44,9.52,27.0,88
11.75,26.65,19.6,89
17.45,15.58,23.13,90
14.37,23.44,12.84,91
21.43,9.86,28.5,92
16.65,6.15,20.18,93
15.39,10.06,20.32,94
13.46,26.1,17.9,95
26.06,25.19,13.17,96
23.11,19.97,27.04,97
17.69,12.48,8.75,98
12.68,15.24,27.46,99
25.79,18.38,11.53,100
24.88,14.9,27.54,101
25.25,25.44,10.98,102
16.02,29.2,19.81,103
13.63,26.25,5.95,104
15.4,11.89,19.67,105
27.69,28.03,7.11,106
17.86,25.74,23.09,107
12.49,11.29,23.52,108
8.8,12.93,21.1,109
5.26,13.84,22.83,110
24.76,26.38,21.39,111
29.84,11.01,6.81,112
26.23,14.04,17.87,113
18.3,18.27,16.06,114
19.33,17.31,12.05,115
27.31,19.34,26.72,116
22.5,22.74,8.38,117
14.05,8.3,16.62,118
25.23,28.33,11.89,119
21.83,17.38,24.76,120
5.29,18.38,17.72,121
11.0,9.1,9.67,122
12.63,5.28,14.29,123
21.88,24.19,14.19,124
7.2,10.74,23.68,125
6.78,25.17,8.4,126
13.89,10.63,16.6,127
25.28,8.14,29.53,128
25.59,21.42,12.75,129
24.98,26.73,6.5,130
13.55,24.24,5.63,131
23.05,26.88,15.73,132
27.41,15.26,27.02,133
14.06,11.79,6.78,134
19.85,21.83,13.04,135
22.49,21.62,27.88,136
6.88,5.82,21.96,137
14.42,22.65,15.89,138
23.84,11.12,5.85,139
27.86,10.64,18.75,140
15.83,20.87,7.27,141
28.51,20.77,17.66,142
27.44,23.65,16.62,143
6.34,6.25,21.68,144
15.99,15.23,22.81,145
19.63,23.73,18.56,146
28.93,23.01,11.71,147
24.89,23.39,12.47,148
10.15,19.55,5.91,149
28.43,14.3,7.36,150
8.04,20.35,12.24,151
17.7,16.38,18.74,152
17.01,20.05,9.94,153
18.51,15.69,10.11,154
19.87,16.73,11.07,155
26.13,9.8,25.94,156
19.59,22.06,27.53,157
16.15,24.59,10.31,158
17.03,5.34,29.62,159
6.11,25.85,26.85,160
15.05,5.37,11.82,161
24.25,5.91,8.79,162
26.19,20.65,10.1,163
11.91,25.72,18.55,164
24.29,6.79,28.12,165
23.14,12.44,12.67,166
19.2,26.17,17.28,167
16.77,23.03,8.18,168
19.89,9.8,17.8,169
19.02,29.52,24.36,170
7.11,15.51,18.1,171
14.12,11.89,25.69,172
28.66,20.56,6.62,173
21.84,22.19,13.41,174
14.31,23.29,28.91,175
29.76,12.34,15.82,176
7.86,9.02,25.82,177
6.01,12.6,11.62,178
17.56,28.42,23.95,179
28.51,20.99,12.58,180
26.02,9.93,25.48,181
14.61,22.92,12.52,182
8.48,6.24,5.72,183
14.99,15.76,16.09,184
21.35,26.21,17.0,185
29.12,20.94,20.65,186
16.38,20.06,8.8,187
29.43,22.65,16.12,188
15.21,11.62,22.63,189
24.77,24.66,6.09,190
12.5,20.63,25.04,191
23.23,7.19,28.95,192
18.85,28.59,7.21,193
26.1,22.03,21.61,194
