color,type,user_id
Brown,Curly,1
Green,Straight,2
White,Wavy,3
Blonde,Straight,4
White,Straight,5
Gray,Curly,6
White,Straight,7
Red,Kinky,8
Purple,Curly,9
Blonde,Curly,10
Red,Wavy,11
Purple,Wavy,12
Red,Curly,13
Gray,Kinky,14
Gray,Curly,15
Green,Curly,16
Blue,Curly,17
Green,Curly,18
Blue,Kinky,19
Red,Straight,20
Gray,Curly,21
Purple,Straight,22
Red,Kinky,23
Purple,Wavy,24
Red,Curly,25
Black,Wavy,26
Blonde,Curly,27
Purple,Straight,28
Black,Straight,29
Blonde,Straight,30
Blonde,Curly,31
Black,Wavy,32
Brown,Straight,33
Blonde,Curly,34
White,Kinky,35
Red,Curly,36
Gray,Wavy,37
Blue,Curly,38
Red,Wavy,39
White,Wavy,40
Blonde,Kinky,41
Blue,Straight,42
Blue,Kinky,43
Gray,Straight,44
White,Straight,45
Green,Kinky,46
Gray,Curly,47
White,Straight,48
Green,Wavy,49
Blue,Straight,50
Brown,Kinky,51
Red,Straight,52
Red,Wavy,53
Brown,Curly,54
White,Kinky,55
Black,Wavy,56
White,Straight,57
Blonde,Straight,58
Brown,Curly,59
Black,Kinky,60
Green,Straight,61
Blue,Wavy,62
Gray,Wavy,63
Gray,Kinky,64
White,Wavy,65
Blue,Wavy,66
White,Wavy,67
Purple,Straight,68
Blue,Curly,69
Red,Wavy,70
Gray,Curly,71
Purple,Wavy,72
Blue,Wavy,73
Blonde,Straight,74
Blue,Wavy,75
Blonde,Straight,76
Blonde,Wavy,77
Brown,Wavy,78
Blue,Kinky,79
Red,Wavy,80
Blue,Straight,81
Blue,Curly,82
Brown,Curly,83
Gray,Wavy,84
Black,Curly,85
Blonde,Curly,86
Red,Curly,87
Blonde,Wavy,88
Purple,Wavy,89
Gray,Straight,90
Blue,Curly,91
Purple,Wavy,92
Purple,Wavy,93
White,Wavy,94
White,Straight,95
Green,Wavy,96
Green,Wavy,97
Blue,Wavy,98
Black,Straight,99
Blonde,Wavy,100
Black,Straight,101
Blonde,Wavy,102
Brown,Kinky,103
White,Curly,104
Brown,Straight,105
Red,Kinky,106
Blue,Wavy,107
Red,Wavy,108
Green,Wavy,109
Black,Kinky,110
Purple,Wavy,111
Brown,Kinky,112
Green,Kinky,113
Gray,Kinky,114
Blonde,Wavy,115
Blue,Kinky,116
Brown,Wavy,117
Gray,Kinky,118
Gray,Curly,119
Black,Wavy,120
Brown,Wavy,121
Blonde,Wavy,122
Black,Kinky,123
Brown,Curly,124
Blonde,Straight,125
Black,Kinky,126
Gray,Wavy,127
Red,Straight,128
Black,Wavy,129
White,Straight,130
Brown,Curly,131
Blonde,Curly,132
Green,Curly,133
Purple,Curly,134
Brown,Wavy,135
Brown,Kinky,136
Purple,Wavy,137
Blue,Wavy,138
Purple,Straight,139
Red,Kinky,140
Red,Curly,141
Green,Curly,142
Gray,Straight,143
Red,Kinky,144
Blonde,Wavy,145
Green,Wavy,146
Brown,Straight,147
Red,Curly,148
Purple,Wavy,149
Blonde,Wavy,150
Brown,Curly,151
Blonde,Kinky,152
White,Wavy,153
Red,Wavy,154
Blue,Wavy,155
Brown,Kinky,156
Blue,Curly,157
Black,Wavy,158
Black,Wavy,159
Blonde,Wavy,160
Red,Kinky,161
White,Kinky,162
Red,Wavy,163
Green,Wavy,164
Green,Curly,165
Brown,Kinky,166
White,Straight,167
Black,Wavy,168
Green,Straight,169
Red,Curly,170
Blonde,Straight,171
White,Kinky,172
Blue,Curly,173
Blue,Wavy,174
Blue,Kinky,175
Blonde,Curly,176
Green,Straight,177
White,Straight,178
White,Straight,179
Black,Kinky,180
Black,Curly,181
White,Straight,182
Blonde,Curly,183
Gray,Wavy,184
Blue,Kinky,185
Blonde,Curly,186
Blonde,Curly,187
Brown,Wavy,188
Blonde,Curly,189
White,Straight,190
Black,Curly,191
Green,Kinky,192
Green,Curly,193
White,Kinky,194
Purple,Curly,195
Green,Wavy,196
Green,Kinky,197
White,Straight,198
White,Straight,199
Purple,Wavy,200
Purple,Straight,201
Blonde,Curly,202
Brown,Curly,203
Black,Curly,204
Red,Curly,205
Brown,Straight,206
Black,Straight,207
Green,Straight,208
